product_id,life_cycle_stage,product_name,material_type,quantity_kg,energy_consumption_kwh,transport_distance_km,waste_generated_kg,carbon_impact,energy_impact,water_impact,recycling_rate,landfill_rate,incineration_rate
P001,end-of-life,Reinforced Concrete,concrete,2500.0,50.0,30,2500.0,200.0,50.0,50.0,0.1,0.8,0.1
P001,manufacturing,Reinforced Concrete,concrete,2500.0,120.0,50,125.0,700.0,3870.0,150150.0,0.1,0.8,0.1
P001,transportation,Reinforced Concrete,concrete,2500.0,20.0,100,0.0,150.0,770.0,0.0,0.0,0.0,0.0
P002,end-of-life,Structural Steel Beam,steel,500.0,30.0,40,500.0,150.0,30.0,30.0,0.9,0.05,0.05
P002,manufacturing,Structural Steel Beam,steel,500.0,300.0,200,25.0,1350.0,10300.0,75200.0,0.9,0.05,0.05
P002,transportation,Structural Steel Beam,steel,500.0,40.0,150,0.0,350.0,2540.0,15000.0,0.0,0.0,0.0
P003,end-of-life,Engineered Wood Beam,wood,100.0,10.0,30,100.0,40.0,10.0,20.0,0.8,0.15,0.05
P003,manufacturing,Engineered Wood Beam,wood,100.0,80.0,120,5.0,200.0,880.0,8080.0,0.8,0.15,0.05
P003,transportation,Engineered Wood Beam,wood,100.0,15.0,100,0.0,60.0,315.0,0.0,0.0,0.0,0.0
P004,end-of-life,Clay Brick,clay,2.5,2.0,20,2.5,1.0,2.0,2.0,0.2,0.7,0.1
P004,manufacturing,Clay Brick,clay,2.5,15.0,80,0.25,7.0,50.0,110.0,0.2,0.7,0.1
P004,transportation,Clay Brick,clay,2.5,5.0,60,0.0,3.0,20.0,0.0,0.0,0.0,0.0
P005,end-of-life,Glass Panel,glass,50.0,20.0,40,50.0,80.0,20.0,15.0,0.9,0.05,0.05
P005,manufacturing,Glass Panel,glass,50.0,200.0,150,2.5,600.0,3200.0,10100.0,0.9,0.05,0.05
P005,transportation,Glass Panel,glass,50.0,30.0,120,0.0,120.0,630.0,0.0,0.0,0.0,0.0
P006,end-of-life,Copper Wire,copper,10.0,15.0,30,10.0,60.0,15.0,10.0,0.95,0.03,0.02
P006,manufacturing,Copper Wire,copper,10.0,150.0,200,0.5,400.0,2150.0,5050.0,0.95,0.03,0.02
P006,transportation,Copper Wire,copper,10.0,20.0,150,0.0,80.0,420.0,0.0,0.0,0.0,0.0
P007,end-of-life,Aluminum Cladding,aluminum,20.0,20.0,35,20.0,70.0,20.0,12.0,0.85,0.1,0.05
P007,manufacturing,Aluminum Cladding,aluminum,20.0,180.0,180,1.0,300.0,680.0,4060.0,0.85,0.1,0.05
P007,transportation,Aluminum Cladding,aluminum,20.0,25.0,140,0.0,62.0,145.0,800.0,0.0,0.0,0.0
P008,end-of-life,Insulation Board,mineral wool,15.0,10.0,25,15.0,45.0,10.0,8.0,0.4,0.5,0.1
P008,manufacturing,Insulation Board,mineral wool,15.0,100.0,100,0.75,150.0,100.0,40.0,0.4,0.5,0.1
P008,transportation,Insulation Board,mineral wool,15.0,15.0,80,0.0,30.0,15.0,0.0,0.0,0.0,0.0
